"Pay with SimPay","Zapłać z SimPay"
"Order #%1","Zamówienie nr %1"
"Enabled","Włączone"
"Title","Tytuł"
"Service ID","ID usługi"
"Online payments → Services → Details → Service ID","Płatności online → Usługi → Szczegóły → ID usługi"
"API password","Hasło API"
"Customer account → API → Details → Password / Bearer Token","Konto klienta → API → Szczegóły → Hasło / Bearer Token"
"IPN signature key","Klucz podpisu IPN"
"Online payments → Services → Details → Settings → IPN signature key","Płatności online → Usługi → Szczegóły → Ustawienia → Klucz podpisu IPN"
"IPN check IP","Sprawdzanie IP dla IPN"
"Enable IP validation for IPN callbacks. We do not recommend if your shop using CloudFlare.","Włącz walidację adresu IP dla wywołań IPN. Nie zalecamy tej opcji, jeśli sklep korzysta z Cloudflare."
"Webhook URL","Adres webhooka"
"Set this URL in SimPay panel as webhook/notification URL.","Ustaw ten adres w panelu SimPay jako adres webhooka / notyfikacji."
"SimPay","SimPay"
